"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"BLOG-100","P1","11","frontend","收敛评论组件为单一实现","移除遗留评论组件或将其完全替换为当前在线实现，确保仓库只保留一套评论入口。该任务聚焦代码边界清晰，不扩展评论功能。","仓库中只剩一套可复用的评论组件实现；真实页面引用路径唯一；遗留组件中的占位逻辑与 console 输出全部清除。","AUTOFRONTEND","Review 时确认调用方都切到同一实现，且删除旧组件不会引入循环依赖或样式退化。","回归时检查文章详情页评论渲染、回复入口和未登录态，确认功能与样式未因组件合并而回退。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:26;frontend/src/components/blog/comment-section.tsx:68;frontend/src/components/comment/comment-section.tsx:62",""
"BLOG-110","P1","12","both","补齐评论失败与重试反馈","为评论加载失败、提交失败、未登录和重复提交等场景提供用户可见反馈。该任务要求评论链路在真实后端下可观察、可重试。","评论加载失败时有错误提示与重试入口；提交失败时有明确原因或统一错误提示；未登录与重复提交状态不会静默失败。","AUTOE2E","Review 时确认评论状态不会与页面主数据态混淆，提交中按钮禁用、重试逻辑和错误清理时机都清晰。","回归时覆盖评论列表失败、提交失败、401 未登录、重复点击提交与回复取消，确认每种场景都可复现且反馈稳定。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:27;frontend/src/components/blog/comment-section.tsx:76;backend/app/comment/internal/service/comment.go:42",""
"BLOG-120","P1","13","frontend","加强后台鉴权与操作反馈","完善后台页面对 token 失效、未授权、删除失败和请求中状态的处理。任务边界是管理页使用体验，不修改后台接口语义。","后台在未登录、token 失效和删除失败时都能给出明确反馈；进行中的删除或加载请求有禁用态；未授权用户不会停留在错误页面。","AUTOE2E","Review 时确认 useAuth、管理页和 API 层的鉴权处理一致，且不会因为 localStorage 状态不同步造成假登录。","回归时验证首次加载、token 过期、删除成功/失败、未登录跳转四类场景，确认后台流程闭环。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:28;frontend/src/app/admin/page.tsx:23;frontend/src/hooks/use-auth.ts:9;frontend/src/lib/api.ts:126",""
"BLOG-130","P1","14","frontend","强化文章编辑器可靠性","为新建/编辑文章补齐校验、标签规范、预览一致性、离开提醒和保存失败恢复。该任务聚焦内容生产可靠性，不扩展富文本能力。","标题与内容必填校验明确可见；标签重复与空值被拦截；预览与保存内容一致；保存失败后表单内容仍保留；离开未保存页面时有提醒。","AUTOE2E","Review 时确认编辑页状态不会因预览切换或加载旧文而丢失，保存失败不清空输入，校验规则可复用。","回归时覆盖新建、编辑、预览切换、保存失败、未保存离开与标签编辑，确认输入状态和最终请求体都正确。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:29;frontend/src/app/admin/edit/page.tsx:22;frontend/src/lib/api.ts:98;frontend/src/lib/api.ts:104",""
"BLOG-140","P2","15","frontend","补齐 SEO 与站点资产","补完首页、文章详情、标签页的动态 metadata，以及 canonical、Open Graph、sitemap 与 robots 等站点资产。边界是搜索与分享元数据，不改内容本身。","首页、详情页、标签页都输出正确 title/description/canonical；站点提供 sitemap 与 robots；feed、metadataBase 与实际域名策略一致。","AUTOFRONTEND","Review 时确认 SEO 字段来源稳定、避免重复 canonical 或硬编码错误域名，且动态页面不会复用错误 metadata。","回归时检查页面源码与生成资产，确认搜索引擎与社交分享抓取到的 URL、标题、描述均符合预期。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:30;frontend/src/app/layout.tsx:23;frontend/src/app/feed.xml/route.ts:8",""
"BLOG-150","P2","16","frontend","优化阅读体验与前端性能","优化文章页的移动端目录、代码块、封面与首屏滚动体验。该任务只针对阅读场景的稳定性与性能，不重新设计整体视觉风格。","文章详情页在移动端可正常阅读、目录不遮挡正文、代码块可滚动且样式稳定；首屏渲染与滚动时无明显卡顿。","AUTOFRONTEND","Review 时确认性能优化没有牺牲可读性或可访问性，目录、动画和 markdown 渲染不会互相抢占布局。","回归时在桌面和移动视口下检查首屏、长文滚动、目录跳转和代码块展示，确认体验一致且无明显回退。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:31;frontend/src/app/blog/[slug]/page.tsx:64;frontend/src/app/page.tsx:28",""
"BLOG-160","P2","17","frontend","建立前端自动化测试基线","引入前端 test 脚本并覆盖 API 封装、鉴权 hook、关键页面状态和评论交互。边界是最小可行保护网，不追求一次性全覆盖。","frontend/package.json 中存在可执行 test 脚本；至少覆盖 API 错误处理、useAuth、页面数据态与评论交互 4 类用例；本地与 CI 均可运行。","AUTOFRONTEND","Review 时确认测试选择覆盖高风险路径而非纯快照，mock 与真实依赖边界清晰，失败信息可读。","回归时执行完整前端测试集与一次失败注入，确认新增测试能拦住 API 错误态和评论交互回归。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:32;frontend/package.json:5;frontend/src/lib/api.ts:80;frontend/src/components/blog/comment-section.tsx:68",""
"BLOG-170","P2","18","backend","建立后端服务测试基线","为 article、comment 与 blog-api 核心路径补齐单元和集成测试。任务目标是覆盖 CRUD、鉴权和评论主链路，不在本轮引入复杂测试平台。","go test 可覆盖文章 CRUD、评论读取/创建、blog-api 关键 HTTP 路由与错误码映射；测试可在 CI 中稳定运行。","AUTOSERVER","Review 时确认测试覆盖的是核心行为和错误边界，而不是仅验证实现细节；外部依赖替身与真实接口边界明确。","回归时执行完整后端测试集，并至少验证一次错误码映射、评论树返回和文章 CRUD 回归。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:33;backend/go.mod:1;backend/app/article/internal/service/article.go:26;backend/app/comment/internal/service/comment.go:26;backend/app/blog-api/internal/service/blog.go:203",""
"BLOG-180","P0","19","both","升级 CI/CD 与回滚链路","把前后端测试、构建缓存、部署后 smoke 检查、失败日志归档和回滚步骤固化到 GitHub Actions。该任务关注交付可靠性与故障恢复。","CI 在 main 分支部署前会执行前后端质量检查；部署后自动跑 smoke；失败日志可直接查看；存在明确的上一版镜像或配置回滚步骤。","AUTOE2E","Review 时确认 workflow 的依赖顺序、超时、日志输出与 secrets 使用合理，失败路径不会吞掉关键诊断信息。","回归时至少演练一次部署成功和一次模拟失败，确认 smoke、日志归档与回滚文档都能按预期工作。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:34;.github/workflows/ci.yaml:132;.github/workflows/ci.yaml:191",""
"BLOG-190","P2","20","both","沉淀运维与发布 Runbook","把部署、证书续期、常见故障排查、依赖升级和内容发布流程沉淀为长期维护文档。该任务是收尾治理，不额外引入新系统。","仓库内存在一份可执行的 Runbook，覆盖部署、域名/证书、回滚、故障排查、升级频率和发布流程；新同事可按文档完成一次演练。","AUTOE2E","Review 时确认 Runbook 使用仓库内真实路径与命令，不依赖口口相传的隐式知识，并包含风险提示和责任边界。","回归时按文档抽样演练部署、证书检查或回滚流程，确认文档步骤完整且不会遗漏关键前置条件。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:35;ROADMAP.md:104;README.md:54",""
